,name,year,rating,metascore,metascore/10,runtime,content,,Summary Statistics,,t-Test: Two-Sample Assuming Equal Variances,,,,Hypothesis Testing,,,,,,
99,Spider-Man 3,2007,6.3,59,5.9,139,PG-13,,,,,,,,,,,,,,
100,Hook,1991,6.8,52,5.2,142,PG,,,,,,,,,,,,,,
101,Man of Steel,2013,7.1,55,5.5,143,PG-13,,,,,,,,,,,,,,
102,Harry Potter and the Prisoner of Azkaban,2004,7.9,82,8.2,142,PG,,,,,,,,,,,,,,
103,The Lord of the Rings: The Two Towers,2002,8.8,87,8.7,179,PG-13,,,,,,,,,,,,,,
104,Mission: Impossible - Fallout,2018,7.7,86,8.6,147,PG-13,,,,,,,,,,,,,,
105,Thor,2011,7,57,5.7,115,PG-13,,,,,,,,,,,,,,
106,It's a Mad Mad Mad Mad World,1963,7.5,59,5.9,210,G,,,,,,,,,,,,,,
107,Prometheus,2012,7,64,6.4,124,R,,,,,,,,,,,,,,
108,The Avengers,2012,8.1,69,6.9,143,PG-13,,,,,,,,,,,,,,
109,X-Men: Apocalypse,2016,6.9,52,5.2,144,PG-13,,,,,,,,,,,,,,
110,The Lost City of Z,2016,6.6,78,7.8,141,PG-13,,,,,,,,,,,,,,
111,Transformers,2007,7.1,61,6.1,144,PG-13,,,,,,,,,,,,,,
112,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,85,8.5,115,PG,,,,,,,,,,,,,,
113,Wonder Woman 1984,2020,5.4,60,6,151,PG-13,,,,,,,,,,,,,,
114,Pacific Rim,2013,6.9,65,6.5,131,PG-13,,,,,,,,,,,,,,
115,The Goonies,1985,7.7,62,6.2,114,PG,,,,,,,,,,,,,,
116,Cars,2006,7.2,73,7.3,117,G,,,,,,,,,,,,,,
117,Ben-Hur,1959,8.1,90,9,212,G,,,,,,,,,,,,,,
118,Star Wars: Episode VII - The Force Awakens,2015,7.9,80,8,138,PG-13,,,,,,,,,,,,,,
119,The Blue Lagoon,1980,5.8,31,3.1,104,R,,,,,,,,,,,,,,
120,Harry Potter and the Deathly Hallows: Part 2,2011,8.2,85,8.5,130,PG-13,,,,,,,,,,,,,,
121,Spirited Away,2001,8.6,96,9.6,125,PG,,,,,,,,,,,,,,
122,The Amazing Spider-Man 2,2014,6.6,53,5.3,142,PG-13,,,,,,,,,,,,,,
123,Scooby-Doo,2002,5.2,35,3.5,86,PG,,,,,,,,,,,,,,
124,Aliens,1986,8.4,84,8.4,137,R,,,,,,,,,,,,,,
125,Spider-Man 2,2004,7.4,83,8.3,127,PG-13,,,,,,,,,,,,,,
126,Dolittle,2020,5.6,26,2.6,101,PG,,,,,,,,,,,,,,
127,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,6.5,146,PG-13,,,,,,,,,,,,,,
128,The Impossible,2012,7.6,73,7.3,114,PG-13,,,,,,,,,,,,,,
129,Ender's Game,2013,6.6,51,5.1,114,PG-13,,,,,,,,,,,,,,
130,Zootopia,2016,8,78,7.8,108,PG,,,,,,,,,,,,,,
131,The Hunger Games: Catching Fire,2013,7.5,76,7.6,146,PG-13,,,,,,,,,,,,,,
132,Escape Room: Tournament of Champions,2021,5.7,48,4.8,88,PG-13,,,,,,,,,,,,,,
133,Charlie and the Chocolate Factory,2005,6.7,72,7.2,115,PG,,,,,,,,,,,,,,
134,Casino Royale,2006,8,80,8,144,PG-13,,,,,,,,,,,,,,
135,Finch,2021,6.9,57,5.7,115,PG-13,,,,,,,,,,,,,,
136,Shazam!,2019,7,71,7.1,132,PG-13,,,,,,,,,,,,,,
137,Coco,2017,8.4,81,8.1,105,PG,,,,,,,,,,,,,,
138,"The Good, the Bad and the Ugly",1966,8.8,90,9,178,R,,,,,,,,,,,,,,
139,Aquaman,2018,6.9,55,5.5,143,PG-13,,,,,,,,,,,,,,
140,Frozen,2013,7.5,75,7.5,102,PG,,,,,,,,,,,,,,
141,E.T. the Extra-Terrestrial,1982,7.9,91,9.1,115,PG,,,,,,,,,,,,,,
142,Mulan,2020,5.7,66,6.6,115,PG-13,,,,,,,,,,,,,,
143,Star Wars: Episode II - Attack of the Clones,2002,6.6,54,5.4,142,PG,,,,,,,,,,,,,,
144,Captain America: Civil War,2016,7.8,75,7.5,147,PG-13,,,,,,,,,,,,,,
145,The Magnificent Seven,2016,6.9,54,5.4,132,PG-13,,,,,,,,,,,,,,
146,The Revenant,2015,8,76,7.6,156,R,,,,,,,,,,,,,,
147,Almost Famous,2000,7.9,90,9,122,R,,,,,,,,,,,,,,
148,Mortal Kombat,2021,6.1,44,4.4,110,R,,,,,,,,,,,,,,
149,Ratatouille,2007,8.1,96,9.6,111,G,,,,,,,,,,,,,,
150,Sonic the Hedgehog,2020,6.5,47,4.7,99,PG,,,,,,,,,,,,,,
