,name,year,rating,runtime
450,The Mummy,-2017,5.4,110 min
451,Clash of the Titans,-2010,5.8,106 min
452,Miss Peregrine's Home for Peculiar Children,-2016,6.7,127 min
453,The Legend of Tarzan,-2016,6.2,110 min
454,The Darjeeling Limited,-2007,7.2,91 min
455,News of the World,-2020,6.8,118 min
456,Mission: Impossible III,-2006,6.9,126 min
457,Excalibur,-1981,7.3,140 min
458,Shrek Forever After,-2010,6.3,93 min
459,Mary Poppins Returns,-2018,6.7,130 min
460,The Covenant,-2006,5.2,97 min
461,Snow White and the Huntsman,-2012,6.1,127 min
462,The Man in the Iron Mask,(I) (1998),6.5,132 min
463,Wild,(I) (2014),7.1,115 min
464,Dante's Peak,-1997,6,108 min
465,Robin Hood: Prince of Thieves,-1991,6.9,143 min
466,North by Northwest,-1959,8.3,136 min
467,Terminator Genisys,-2015,6.3,126 min
468,Anastasia,-1997,7.1,94 min
469,Power Rangers,-2017,5.9,124 min
470,Cars 3,-2017,6.7,102 min
471,The Green Inferno,-2013,5.3,100 min
472,Cars 2,-2011,6.2,106 min
473,Hanna,-2011,6.8,111 min
474,The Fox and the Hound,-1981,7.3,83 min
475,Cloudy with a Chance of Meatballs,-2009,7,90 min
476,Crocodile Dundee,-1986,6.6,97 min
477,Tarzan,-1999,7.3,88 min
478,The Road Warrior,-1981,7.6,96 min
479,The Nightingale,(I) (2018),7.3,136 min
480,Barbarella,-1968,5.9,98 min
481,The Last Airbender,-2010,4,103 min
482,A Series of Unfortunate Events,-2004,6.8,108 min
483,Gnomeo & Juliet,-2011,5.9,84 min
484,Monsters University,-2013,7.3,104 min
485,Stowaway,-2021,5.6,116 min
486,The Mortal Instruments: City of Bones,-2013,5.9,130 min
487,The Ten Commandments,-1956,7.9,220 min
488,Die Another Day,-2002,6.1,133 min
489,Fantastic Four,(I) (2005),5.7,106 min
490,Cold Mountain,-2003,7.2,154 min
491,The Time Machine,-2002,6,96 min
492,National Treasure: Book of Secrets,-2007,6.5,124 min
493,The Prince of Egypt,-1998,7.1,99 min
494,Austin Powers in Goldmember,-2002,6.2,94 min
495,Ice Age: Collision Course,-2016,5.7,94 min
496,Exodus: Gods and Kings,-2014,6,150 min
497,Barry Lyndon,-1975,8.1,185 min
498,Romancing the Stone,-1984,6.9,106 min
499,Waterworld,-1995,6.2,177 min
500,Flash Gordon,-1980,6.5,111 min
501,The Great Escape,-1963,8.2,172 min
502,The Huntsman: Winter's War,-2016,6.1,114 min
503,George of the Jungle,-1997,5.5,92 min
504,Robots,-2005,6.4,91 min
505,Star Trek: First Contact,-1996,7.6,111 min
506,Resident Evil: The Final Chapter,-2016,5.5,107 min
507,Men in Black II,-2002,6.1,88 min
508,Maze Runner: The Death Cure,-2018,6.2,143 min
509,Zoolander 2,-2016,4.7,101 min
510,Interstate 60: Episodes of the Road,-2002,7.6,116 min
511,Predators,-2010,6.4,107 min
512,Ferdinand,-2017,6.7,108 min
513,Dr. No,-1962,7.2,110 min
514,Pok?mon Detective Pikachu,-2019,6.6,104 min
515,Treasure Planet,-2002,7.2,95 min
516,Percy Jackson: Sea of Monsters,-2013,5.8,106 min
517,Mission: Impossible II,-2000,6.1,123 min
518,Pocahontas,(I) (1995),6.7,81 min
519,Despicable Me 3,-2017,6.3,89 min
520,Alvin and the Chipmunks,-2007,5.2,92 min
521,Conan the Barbarian,-2011,5.1,113 min
522,Anaconda,-1997,4.8,89 min
523,Paddington 2,-2017,7.8,103 min
524,Toy Story 2,-1999,7.9,92 min
525,Night at the Museum: Battle of the Smithsonian,-2009,6,105 min
526,The Jungle Book,-1967,7.6,78 min
527,How to Train Your Dragon: The Hidden World,-2019,7.4,104 min
528,Finding Dory,-2016,7.3,97 min
529,Last Action Hero,-1993,6.4,130 min
530,Trolls,-2016,6.5,92 min
531,Dogma,-1999,7.3,130 min
532,The Magnificent Seven,-1960,7.7,128 min
533,Wyatt Earp,-1994,6.7,191 min
534,Rango,-2011,7.2,107 min
535,The Great Wall,(I) (2016),5.9,103 min
536,Popeye,-1980,5.3,114 min
537,The Dark Tower,-2017,5.6,95 min
538,The Good Dinosaur,-2015,6.7,93 min
539,Weekend at Bernie's,-1989,6.4,97 min
540,The Croods,-2013,7.2,98 min
541,The Midnight Sky,-2020,5.6,118 min
542,Goldfinger,-1964,7.7,110 min
543,The Abyss,-1989,7.5,140 min
544,Sahara,-2005,6,124 min
545,Scary Stories to Tell in the Dark,-2019,6.2,108 min
546,G.I. Joe: Retaliation,-2013,5.8,110 min
547,Sherlock Holmes: A Game of Shadows,-2011,7.4,129 min
548,Bloodshot,-2020,5.7,109 min
549,The Chronicles of Narnia: Prince Caspian,-2008,6.5,150 min
550,The Fall,-2006,7.8,117 min
551,The Holy Mountain,-1973,7.8,114 min
552,Lara Croft: Tomb Raider,-2001,5.7,100 min
553,Rambo: First Blood Part II,-1985,6.5,96 min
554,Star Trek II: The Wrath of Khan,-1982,7.7,113 min
555,The Cat in the Hat,-2003,4.1,82 min
556,The Happening,-2008,5,91 min
557,The Book of Life,-2014,7.2,95 min
558,Rio,-2011,6.9,96 min
559,Masters of the Universe,-1987,5.3,106 min
560,Happy Feet,-2006,6.4,108 min
561,Chitty Chitty Bang Bang,-1968,6.9,144 min
562,Robin Hood,-1973,7.5,83 min
563,Spartacus,-1960,7.9,197 min
564,Free Willy,-1993,6,112 min
565,R.I.P.D.,-2013,5.6,96 min
566,Assassin's Creed,-2016,5.7,115 min
567,Dora and the Lost City of Gold,-2019,6.1,102 min
568,End of Watch,-2012,7.6,109 min
569,Dope,-2015,7.2,103 min
570,Snow White and the Seven Dwarfs,-1937,7.6,83 min
571,The Adventures of Buckaroo Banzai Across the 8th Dimension,-1984,6.3,103 min
572,The Expendables 2,-2012,6.6,103 min
573,Elektra,-2005,4.7,97 min
574,Charlie's Angels: Full Throttle,-2003,4.9,106 min
575,The Interview,(II) (2014),6.5,112 min
576,xXx: Return of Xander Cage,-2017,5.2,107 min
577,Logan's Run,-1976,6.8,119 min
578,Now You See Me 2,-2016,6.4,129 min
579,Hercules,(I) (2014),6,98 min
580,Executive Decision,-1996,6.5,133 min
581,The Chronicles of Riddick,-2004,6.6,119 min
582,Point Break,-2015,5.3,114 min
583,From Russia with Love,-1963,7.4,115 min
584,Bill & Ted's Excellent Adventure,-1989,6.9,90 min
585,Monsters vs. Aliens,-2009,6.5,94 min
