,name,year,rating,runtime
1172,DuckTales the Movie: Treasure of the Lost Lamp,-1990,6.8,74 min
1173,Arthur Christmas,-2011,7.1,97 min
1174,The Last Days on Mars,-2013,5.5,98 min
1175,Rare Exports,-2010,6.6,84 min
1176,The Hunting Party,-2007,6.8,101 min
1177,Chennai Express,-2013,6.2,141 min
1178,Mutant Chronicles,-2008,5.2,111 min
1179,Dragon Ball Z: Battle of Gods,-2013,7.2,85 min
1180,Ek Tha Tiger,-2012,5.6,132 min
1181,Sholay,-1975,8.1,162 min
1182,Ra.One,-2011,4.9,156 min
1183,Queen,-2013,8.2,146 min
1184,Universal Soldier: Regeneration,-2009,5.3,97 min
1185,Goal II: Living the Dream,-2007,5.8,115 min
1186,The Warlords,-2007,7,126 min
1187,Yahsi Bati,-2009,7.4,112 min
1188,Recep Ivedik,-2008,4.7,90 min
